"l_nm","frequency"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Farris","222"
"Sudbeck","222"
"Adachi","221"
"Osgood","220"
"Mandell","218"
"Masada","218"
"Neiman","218"
"Boudaillier","217"
"Wendorf","217"
"Pettis","216"
"Mahnke","216"
"Solares","216"
"Cummings","216"
"Birjandi","215"
"Emmart","215"
"Maksimenko","215"
"Collette","215"
"Kulisch","215"
"Boguraev","214"
"Pokrovskii","214"
"Rosaz","214"
"Scallan","214"
"Morrey","213"
"Stifter","213"
"Siksek","213"
"Wolniewicz","213"
"Garrabrants","212"
"Rajcani","212"
"Pramanik","212"
"Rabehasaina","212"
"Taubman","212"
"Siepmann","212"
"Peek","212"
"Herber","212"
"Swen","212"
"Ventosa","211"
"Kamber","211"
"Asser","211"
"Cangellaris","211"
"Ghemri","211"
"Kitsuregawa","211"
"Gente","211"
"Barriga","211"
"Redmiles","210"
"Schaaf","210"
"Bolsens","210"
"Driscoll","210"
"Luce","210"
"Flowers","209"
"Gewali","209"
"Gerlach","209"
"Zuberek","209"
"Chenney","209"
"Khasidashvili","209"
"Malabarba","209"
"Lunt","209"
"Serra","209"
"Lamparter","209"
"Aloia","208"
"Cesareni","208"
"Gecsei","208"
"Jenevein","208"
"Lowrie","208"
"Panienski","208"
"Garnier","207"
"Lamba","207"
"Angelopoulos","207"
"Akazan","207"
"Foote","206"
"Bondorf","206"
"Braunmuhl","206"
"Chimia","206"
"Gaughan","206"
"Duclos","206"
"Perng","206"
"Hebert","206"
"Onuegbe","205"
"Marakhovsky","205"
"Ponthieu","205"
"Encarnacion","205"
"Shimshoni","205"
"Emden","205"
"DeMori","205"
"Ecklund","205"
"Lanphier","205"
"Garnham","205"
"Aamodt","205"
"Panangaden","205"
"Bennet","205"
"Geffroy","205"
"Matzov","205"
"Siprelle","205"
"Swick","204"
"Legleitner","204"
"Riexinger","204"
"Linares","204"
"Alpin","204"
